date,description,amount,category,subcategory
2025-06-17,WESTERN UNION TRANSFER,753.07,Family & Dependent Support,Routine family financial assistance.
2025-12-28,AXS TICKET PURCHASE,160.22,Entertainment & Leisure,Event tickets
2025-06-29,NELNET STUDENT LOAN,250.68,Debts & Loans,Student loans
2025-05-10,NATIONWIDE PET INS,64.36,Pets,Pet insurance
2025-12-14,HONDA FINANCIAL,347.28,Transportation & Vehicle,Car payments
2025-09-15,ROCKET MORTGAGE LLC,2236.86,Housing & Real Estate,Mortgage
2024-01-23,AMAZON.COM GIFT,173.31,Gifts & Charity,Holiday/birthday gifts
2024-01-13,LOCAL BARBER SHOP,83.77,Personal Care & Apparel,Salon/barber visits
2025-09-29,CMS MEDICARE PART B,207.13,Healthcare,"Medicare premiums (Parts B, C, D)"
2024-07-22,GREYSTAR PROPERTY MGMT,1861.49,Housing & Real Estate,Rent
2025-04-20,ACE HARDWARE #2088,443.43,Housing & Real Estate,Maintenance & repairs
2025-11-05,SOCALGAS PAYMENT,28.4,Utilities & Communication,Gas
2025-01-25,CITY TRASH COLLECTION,55.61,Utilities & Communication,Trash
2024-08-07,ALLIANZ TRAVEL INS,131.73,Travel & Vacations,Travel insurance
2025-05-02,AMAZON.COM,93.48,Household,Misc
2024-10-16,VITAMIN SHOPPE #4303,42.41,Personal Care & Apparel,Supplements/vitamins
2024-02-20,WORLD NOMADS INSURANCE,28.43,Travel & Vacations,Travel insurance
2025-11-09,STATE FARM UMBRELLA,39.53,Insurance (Non-housing/Non-auto),Umbrella liability insurance
2025-08-07,TREASURER TAX OFC,810.17,Housing & Real Estate,Property Taxes
2025-09-20,PROGRESSIVE INSURANCE,192.88,Transportation & Vehicle,Auto insurance
2025-02-11,PETSMART GROOMING #3210,43.29,Pets,Grooming
2024-07-10,THE CHEESECAKE FACTORY,60.68,Food & Dining,Dining out
2024-07-11,USAA UMBRELLA POLICY,36.37,Insurance (Non-housing/Non-auto),Umbrella liability insurance
2025-01-12,MUTUAL OF OMAHA LTC,175.98,Insurance (Non-housing/Non-auto),Long-term care insurance policies
2025-09-14,SKILLSHARE SUBSCRIPTION,246.38,Entertainment & Leisure,Classes
2025-05-05,FIRESTONE COMPLETE AUTO,899.63,Transportation & Vehicle,Vehicle maintenance & repairs
2024-02-27,SOUTHWEST AIRLINES,756.7,Travel & Vacations,Flights
2024-02-24,HONDA FINANCIAL,639.73,Transportation & Vehicle,Car payments
2024-10-25,LYFT RIDE,43.69,Transportation & Vehicle,Public transit/ride-sharing
2025-01-27,BARNES & NOBLE #853,32.53,Entertainment & Leisure,Books/Periodicals
2025-11-03,SUPERCUTS #9929,64.68,Personal Care & Apparel,Salon/barber visits
2025-05-17,LENSCRAFTERS #2168,333.42,Healthcare,Dental/vision care
2025-09-11,PETCO #2296,65.26,Pets,Pet food & supplies
2025-05-10,STAPLES #6165,88.27,Household,Office Expenses
2024-08-14,SOCALGAS PAYMENT,166.86,Utilities & Communication,Gas
2025-03-29,SEPHORA #4217,24.65,Personal Care & Apparel,Cosmetics/personal hygiene products
2025-11-14,TRUPANION PET INSURANCE,57.69,Pets,Pet insurance
2025-10-12,CHASE MORTGAGE PYMT,1644.76,Housing & Real Estate,Mortgage
2025-07-10,TICKETMASTER EVENT,98.67,Entertainment & Leisure,Event tickets
2025-07-11,WAYFAIR.COM,570.83,Household,Furniture
2025-02-08,CENTERPOINT ENERGY,81.7,Utilities & Communication,Gas
2025-04-30,CHEWY.COM BIRD,37.7,Pets,Bird supplies
2024-04-02,COMMUNITY CHURCH GIVING,238.6,Gifts & Charity,Tithing
2025-11-17,STATE FARM UMBRELLA,21.94,Insurance (Non-housing/Non-auto),Umbrella liability insurance
2025-03-20,HILTON HOTELS #2803,399.73,Travel & Vacations,Lodging
2025-08-11,HOBBY LOBBY #6952,123.32,Entertainment & Leisure,Hobbies
2024-07-16,TRIPADVISOR EXPERIENCES,81.42,Travel & Vacations,Tour packages
2025-05-02,NORWEGIAN CRUISE LINE,2692.3,Travel & Vacations,Cruises
2024-12-19,HOME DEPOT APPLIANCES,789.93,Household,Appliances
2024-02-08,COMMUNITY CHURCH GIVING,264.06,Gifts & Charity,Tithing
2025-11-04,UBER TRIP,35.3,Transportation & Vehicle,Public transit/ride-sharing
2024-01-25,REI CO-OP #204,467.55,Entertainment & Leisure,Recreational equipment
2024-07-11,CHEWY.COM,40.12,Pets,Pet food & supplies
2025-01-09,NATIONAL GRID GAS,146.91,Utilities & Communication,Gas
2025-07-19,CVS PHARMACY #2673,50.78,Healthcare,Prescriptions
2025-04-28,DMV VEHICLE REG,296.4,Transportation & Vehicle,Registration/licensing
2025-02-17,LENDINGCLUB PAYMENT,280.82,,
2024-08-29,TRADER JOE'S #6595,117.91,Food & Dining,Groceries
2025-11-30,WALMART #3094,94.98,Household,Misc
2025-08-31,WORLD NOMADS INSURANCE,95.18,Travel & Vacations,Travel insurance
2024-01-13,JIFFY LUBE #8819,514.41,Transportation & Vehicle,Vehicle maintenance & repairs
2024-10-03,WELLS FARGO HOME MTG,1939.62,Housing & Real Estate,Mortgage
2024-03-30,MASSMUTUAL LIFE,216.59,Insurance (Non-housing/Non-auto),Term or whole life insurance
2024-07-13,COUNTY TAX COLLECTOR,1170.83,Housing & Real Estate,Property Taxes
2025-09-27,NATIONAL GRID GAS,123.68,Utilities & Communication,Gas
2024-06-06,THE HOME DEPOT #1281,46.84,Household,Cleaning supplies
2024-09-28,GREYSTAR PROPERTY MGMT,1788.28,Housing & Real Estate,Rent
2025-11-17,SPECTRUM CABLE TV,15.66,Utilities & Communication,Cable/streaming services
2025-12-31,STARBUCKS #7506,4.55,Food & Dining,Coffee shops
2024-08-15,KROGER #1602,209.01,Food & Dining,Groceries
2024-10-14,WAYFAIR.COM,1236.86,Household,Furniture
2025-01-07,GREAT CLIPS #7574,114.79,Personal Care & Apparel,Salon/barber visits
2024-05-12,SPECTRUM CABLE TV,62.3,Utilities & Communication,Cable/streaming services
2024-12-09,ROTO-ROOTER PLUMBING,591.67,Housing & Real Estate,Maintenance & repairs
2025-04-10,CMS MEDICARE PART B,112.38,Healthcare,"Medicare premiums (Parts B, C, D)"
2024-05-29,PETSMART #5303,102.35,Pets,Pet food & supplies
2025-01-03,LYFT RIDE,25.83,Transportation & Vehicle,Public transit/ride-sharing
2025-11-01,CITY TRASH COLLECTION,25.72,Utilities & Communication,Trash
2024-12-05,APPLE.COM/BILL,5.02,Entertainment & Leisure,Apps/services
2025-12-27,REGIONAL MEDICAL CTR,483.6,Healthcare,Out-of-pocket medical costs
2024-07-29,MASSMUTUAL LIFE,248.4,Insurance (Non-housing/Non-auto),Term or whole life insurance
2025-02-11,STARBUCKS #1512,3.59,Food & Dining,Coffee shops
2025-07-21,UPSTART LOAN PYMT,165.31,Debts & Loans,Personal installment loans
2025-03-05,CMS MEDICARE PART B,180.56,Healthcare,"Medicare premiums (Parts B, C, D)"
2025-11-28,GRUBHUB ORDER #6329,21.65,Food & Dining,Meal delivery services
2024-02-13,T-MOBILE PAYMENT,44.01,Utilities & Communication,Cell phone
2025-08-02,IKEA #7410,368.89,Household,Furniture
2025-08-08,VIATOR TOURS,544.54,Travel & Vacations,Tour packages
2024-05-18,KINDERCARE LEARNING CTR,725.97,Family & Dependent Support,Childcare
2025-11-30,LOCAL COMMUNITY COLLEGE,155.68,Entertainment & Leisure,Classes
2024-02-06,AMAZON.COM,21.1,Household,Misc
2024-07-22,UNITEDHEALTH MEDIGAP,382.44,Healthcare,Private supplemental health insurance
2024-11-09,THE CHEESECAKE FACTORY,99.31,Food & Dining,Dining out
2025-03-28,CAPITAL ONE PAYMENT,982.84,Debts & Loans,
2025-04-17,CON EDISON UTILITY,91.49,Utilities & Communication,Electricity
2024-02-10,PETSMART GROOMING #8598,63.03,Pets,Grooming
2024-05-10,TRAVELERS UMBRELLA,33.19,Insurance (Non-housing/Non-auto),Umbrella liability insurance
2024-02-08,DSW #6106,135.22,Personal Care & Apparel,Shoes
2025-03-01,TARGET #1094,81.77,Gifts & Charity,Holiday/birthday gifts
2025-12-05,PETSMART #527,49.52,Pets,Pet food & supplies
2025-07-17,CHICK-FIL-A #8361,14.01,Food & Dining,Fast food
2025-09-13,ZILLOW RENTAL PYMT,1497.58,Housing & Real Estate,Rent
2024-05-28,CITY WATER UTILITY,60.5,Utilities & Communication,Water/sewer
2024-05-21,ULTA BEAUTY #7519,73.99,Personal Care & Apparel,Cosmetics/personal hygiene products
2024-02-03,HONDA FINANCIAL,475.4,Transportation & Vehicle,Car payments
2025-12-29,ULTA BEAUTY #9075,78.58,Personal Care & Apparel,Cosmetics/personal hygiene products
2024-04-09,PROPERTY TAX ESCROW,990.27,Housing & Real Estate,Property Taxes
2024-03-15,MASTERCLASS.COM,308.65,Entertainment & Leisure,Classes
2025-09-20,UNITED AIRLINES,120.53,Travel & Vacations,Flights
2025-06-11,ROTO-ROOTER PLUMBING,131.23,Housing & Real Estate,Maintenance & repairs
2025-04-15,ALLY AUTO PAYMENT,633.72,Transportation & Vehicle,Car payments
2024-04-23,BANFIELD PET HOSPITAL,266.56,Pets,Vet care
2024-08-05,WASTE MANAGEMENT INC,48.9,Utilities & Communication,Trash
2024-06-28,COLD STONE CREAMERY,15.63,Food & Dining,Snacks & Desserts
2025-04-21,CON EDISON UTILITY,62.07,Utilities & Communication,Electricity
2025-04-01,VIATOR TOURS,421.7,Travel & Vacations,Tour packages
2025-07-03,MICHAELS STORES #9559,29.33,Entertainment & Leisure,Hobbies
2024-11-01,DOORDASH*ORDER,27.56,Food & Dining,Meal delivery services
2024-11-11,MARRIOTT HOTELS #7858,520.32,Travel & Vacations,Lodging
2025-08-30,SOFI PERSONAL LOAN,161.1,Debts & Loans,Personal installment loans
2025-01-02,SOFI PERSONAL LOAN,318.24,Debts & Loans,Personal installment loans
2024-01-04,APARTMENTS.COM RENT,1337.24,Housing & Real Estate,Rent
2025-06-12,NORTHWESTERN MUTUAL,210.87,Insurance (Non-housing/Non-auto),Term or whole life insurance
2025-11-26,HULU SUBSCRIPTION,71.51,Utilities & Communication,Cable/streaming services
2025-06-12,WALMART #6857,95.77,Household,Misc
2025-02-14,WALGREENS RX #4822,122.64,,
2025-03-14,LA FITNESS MEMBERSHIP,93.04,Entertainment & Leisure,Gym/club memberships
2025-10-23,TREASURER TAX OFC,2425.71,Housing & Real Estate,Property Taxes
2025-03-07,CMS MEDICARE PART B,180.32,Healthcare,"Medicare premiums (Parts B, C, D)"
2025-01-25,HOME INSTEAD SENIOR CARE,1432.82,Family & Dependent Support,Elder care support
2024-05-29,VERIZON WIRELESS,64.53,Utilities & Communication,Cell phone
2025-10-27,HONDA FINANCIAL,646.67,Transportation & Vehicle,Car payments
2024-08-31,CITY WATER UTILITY,31.63,Utilities & Communication,Water/sewer
2025-08-01,FIRST BAPTIST CHURCH,141.34,Gifts & Charity,Tithing
2025-11-07,STATE FARM UMBRELLA,37.24,Insurance (Non-housing/Non-auto),Umbrella liability insurance
2025-02-12,REPUBLIC SERVICES,61.37,Utilities & Communication,Trash
2024-05-04,MONTESSORI ACADEMY,295.21,Family & Dependent Support,Child education/tuition
2024-06-22,FIRST BAPTIST CHURCH,312.48,Gifts & Charity,Tithing
2025-01-14,CITY WATER UTILITY,72.75,Utilities & Communication,Water/sewer
2024-05-12,DUNKIN' #9730,4.64,Food & Dining,Coffee shops
2024-06-20,ROYAL CARIBBEAN CRUISE,2867.56,Travel & Vacations,Cruises
2024-11-18,GREYSTAR PROPERTY MGMT,2414.55,Housing & Real Estate,Rent
2024-04-02,ASHLEY FURNITURE,1032.18,Household,Furniture
2024-11-22,CHEWY.COM,13.24,Pets,Pet food & supplies
2025-07-08,COMFORT KEEPERS,1573.18,Family & Dependent Support,Elder care support
2025-08-25,TICKETMASTER EVENT,82.72,Entertainment & Leisure,Event tickets
2024-03-13,LOCAL COMMUNITY COLLEGE,260.66,Entertainment & Leisure,Classes
2025-08-24,TOYOTA FINANCIAL SVC,634.59,Transportation & Vehicle,Car payments
2024-12-18,DMV VEHICLE REG,51.78,Transportation & Vehicle,Registration/licensing
2025-12-03,REI CO-OP #1581,95.66,Entertainment & Leisure,Recreational equipment
2025-07-30,TARGET #5399,127.56,Gifts & Charity,Holiday/birthday gifts
2025-03-20,ST MARY'S PARISH TITHE,354.32,Gifts & Charity,Tithing
2024-11-03,EXXONMOBIL #8640,39.37,Transportation & Vehicle,Gas/fuel
2025-06-21,HEALTHY PAWS INSURANCE,41.35,Pets,Pet insurance
2025-06-24,NELNET STUDENT LOAN,190.4,Debts & Loans,Student loans
2024-02-17,DUKE ENERGY PAYMT,258.75,Utilities & Communication,Electricity
2024-10-27,GREYSTAR PROPERTY MGMT,1610.26,Housing & Real Estate,Rent
2025-11-04,TARGET #2203,16.49,Personal Care & Apparel,Cosmetics/personal hygiene products
2025-02-05,ZELLE TRANSFER TO FAMILY,249.88,Family & Dependent Support,Routine family financial assistance.
2025-12-14,ROTO-ROOTER PLUMBING,223.33,Housing & Real Estate,Maintenance & repairs
2025-05-11,QUEST DIAGNOSTICS,530.89,Healthcare,Out-of-pocket medical costs
2025-08-22,THE HOME DEPOT #1136,47.31,Household,Cleaning supplies
2025-10-17,LOCAL DAYCARE CENTER,606.73,Family & Dependent Support,Childcare
2024-09-18,CON EDISON UTILITY,115.88,Utilities & Communication,Electricity
2024-03-03,USAA HOMEOWNERS,278.65,Housing & Real Estate,Homeowner's Insurance
2025-09-27,NORWEGIAN CRUISE LINE,2161.59,Travel & Vacations,Cruises
2024-06-02,HOME INSTEAD SENIOR CARE,450.02,Family & Dependent Support,Elder care support
2024-03-10,TARGET #7996,16.05,Household,Misc
2025-05-07,WHOLE FOODS MKT #4196,25.7,Food & Dining,Groceries
2024-06-01,BRIGHT SMILES DENTAL,64.66,Healthcare,Dental/vision care
2024-09-30,BASKIN ROBBINS #6384,6.24,Food & Dining,Snacks & Desserts
2025-10-23,SPECTRUM CABLE TV,14.91,Utilities & Communication,Cable/streaming services
2024-09-05,WESTERN UNION TRANSFER,139.74,Family & Dependent Support,Routine family financial assistance.
2024-11-21,TRAVELERS UMBRELLA,32.74,Insurance (Non-housing/Non-auto),Umbrella liability insurance
2024-11-23,JIFFY LUBE #7792,695.0,Transportation & Vehicle,Vehicle maintenance & repairs
2025-12-21,PLANET FITNESS #7132,124.88,Entertainment & Leisure,Gym/club memberships
2024-11-20,GEICO AUTO INSURANCE,215.74,Transportation & Vehicle,Auto insurance
2024-04-14,SEPHORA #5976,74.75,Personal Care & Apparel,Cosmetics/personal hygiene products
2025-10-02,REGIONAL MEDICAL CTR,458.74,Healthcare,Out-of-pocket medical costs
2024-08-07,HULU SUBSCRIPTION,33.33,Utilities & Communication,Cable/streaming services
2025-01-18,GNC #8568,59.33,Personal Care & Apparel,Supplements/vitamins
2025-02-28,URGENT CARE CLINIC,180.22,Healthcare,Out-of-pocket medical costs
2025-01-14,STAPLES #1149,46.83,Household,Office Expenses
2025-07-24,AT&T FIBER INTERNET,88.87,Utilities & Communication,Internet
2025-03-29,ROTO-ROOTER PLUMBING,326.53,Housing & Real Estate,Maintenance & repairs
2025-07-21,STARBUCKS #8194,3.24,Food & Dining,Coffee shops
2025-02-27,PROGRESSIVE INSURANCE,92.1,Transportation & Vehicle,Auto insurance
2024-04-20,LOCAL VETERINARY CLINIC,277.74,Pets,Vet care
2025-01-13,HOA MGMT ASSOC #2542,395.52,Housing & Real Estate,HOA fees
2025-04-21,LOCAL VETERINARY CLINIC,219.05,Pets,Vet care
2025-12-14,AQUA WATER SEWER,134.43,Utilities & Communication,Water/sewer
2024-01-17,MIDAS AUTO REPAIR,606.98,Transportation & Vehicle,Vehicle maintenance & repairs
2024-03-06,GREYSTAR PROPERTY MGMT,1733.24,Housing & Real Estate,
2024-11-15,SPECTRUM INTERNET,55.23,Utilities & Communication,Internet
2024-01-29,KROGER #1437,91.86,Food & Dining,Groceries
2024-12-10,UNITED AIRLINES,577.09,Travel & Vacations,Flights
2025-04-12,PG&E ELECTRIC BILL,175.71,Utilities & Communication,Electricity
2025-05-14,SSA MEDICARE DEDUCT,203.65,Healthcare,"Medicare premiums (Parts B, C, D)"
2024-11-25,QUEST DIAGNOSTICS,284.1,Healthcare,Out-of-pocket medical costs
2024-11-08,LENSCRAFTERS #9742,495.41,Healthcare,Dental/vision care
2024-10-25,USAA UMBRELLA POLICY,35.38,Insurance (Non-housing/Non-auto),Umbrella liability insurance
2025-06-22,SPOTIFY PREMIUM,22.46,Entertainment & Leisure,Apps/services
2024-06-19,UNIVERSITY TUITION PYMT,584.31,Family & Dependent Support,Child education/tuition
2024-11-30,STATE FARM AUTO,157.44,Transportation & Vehicle,Auto insurance
2025-08-08,COMFORT KEEPERS,1181.75,Family & Dependent Support,Elder care support
2025-03-30,APPLE.COM/BILL,22.85,Entertainment & Leisure,Apps/services
2024-04-17,NIKE STORE #2347,89.92,Personal Care & Apparel,Shoes
2025-01-04,EXPEDIA TOUR PACKAGE,397.77,Travel & Vacations,Tour packages
2024-12-12,OLIVE GARDEN #826,62.28,Food & Dining,Dining out
2024-04-28,NAVIENT LOAN PYMT,421.13,Debts & Loans,Student loans
2024-02-03,COMFORT KEEPERS,2355.17,Family & Dependent Support,Elder care support
2024-07-16,ETSY.COM ORDER,86.29,Gifts & Charity,Holiday/birthday gifts
2024-10-14,NELNET STUDENT LOAN,166.27,Debts & Loans,Student loans
2025-10-26,MIDAS AUTO REPAIR,440.98,Transportation & Vehicle,Vehicle maintenance & repairs
2024-02-15,LOCAL VETERINARY CLINIC,136.24,Pets,Vet care
2024-11-28,STATE FARM AUTO,191.67,Transportation & Vehicle,Auto insurance
2025-06-12,BARNES & NOBLE #3038,19.61,Entertainment & Leisure,Books/Periodicals
2025-08-21,SOUTHWEST AIRLINES,398.8,Travel & Vacations,Flights
2025-07-09,CHEWY.COM,46.22,Pets,Pet food & supplies
2025-05-20,DICK'S SPORTING GOODS,196.77,Entertainment & Leisure,Recreational equipment
2024-12-06,OLIVE GARDEN #1798,112.58,Food & Dining,Dining out
2025-05-18,VIATOR TOURS,267.46,Travel & Vacations,Tour packages
2024-07-15,GRUBHUB ORDER #4431,42.45,Food & Dining,Meal delivery services
2024-12-26,NATIONAL GRID GAS,119.1,Utilities & Communication,Gas
2024-05-27,CHICK-FIL-A #3442,11.8,Food & Dining,Fast food
2025-11-17,HILTON HOTELS #1553,509.05,Travel & Vacations,Lodging
2025-09-12,MONTESSORI ACADEMY,4363.37,Family & Dependent Support,Child education/tuition
2024-10-20,PRUDENTIAL LIFE INS,74.12,Insurance (Non-housing/Non-auto),Term or whole life insurance
2025-02-15,SHELL OIL #4109,73.14,Transportation & Vehicle,Gas/fuel
2024-11-16,ASHLEY FURNITURE,387.16,Household,Furniture
2024-09-06,WALMART #9326,50.94,Household,Misc
2024-10-14,PETCO BIRD SUPPLIES,68.12,Pets,Bird supplies
2025-03-26,THE CHEESECAKE FACTORY,126.74,Food & Dining,Dining out
2025-03-20,BARNES & NOBLE #4105,12.48,Entertainment & Leisure,Books/Periodicals
2025-08-24,REGIONAL MEDICAL CTR,193.16,Healthcare,Out-of-pocket medical costs
2025-10-24,SOFI PERSONAL LOAN,345.55,Debts & Loans,Personal installment loans
2025-04-17,APPLE.COM/BILL,3.94,Entertainment & Leisure,Apps/services
2025-10-24,TARGET #9305,78.92,Personal Care & Apparel,Cosmetics/personal hygiene products
2024-12-25,SKILLSHARE SUBSCRIPTION,78.18,Entertainment & Leisure,Classes
2024-04-28,MASSMUTUAL LIFE,220.26,Insurance (Non-housing/Non-auto),Term or whole life insurance
2025-12-11,PG&E ELECTRIC BILL,157.61,Utilities & Communication,Electricity
2024-08-10,CITY WATER UTILITY,105.93,Utilities & Communication,Water/sewer
2025-01-11,THE CHEESECAKE FACTORY,103.05,Food & Dining,Dining out
2025-08-08,MONTESSORI ACADEMY,3230.11,Family & Dependent Support,Child education/tuition
2025-11-17,WALGREENS RX #6790,66.66,Healthcare,Prescriptions
2024-12-18,EXXONMOBIL #8220,28.05,Transportation & Vehicle,Gas/fuel
2024-11-30,DICK'S SPORTING GOODS,356.35,Entertainment & Leisure,Recreational equipment
2025-02-23,NIKE STORE #3404,80.48,Personal Care & Apparel,Shoes
2024-09-28,ASSOCIA HOA DUES,230.36,Housing & Real Estate,HOA fees
2025-04-25,JOHN HANCOCK LTC,183.04,Insurance (Non-housing/Non-auto),Long-term care insurance policies
2025-07-12,ROCKET MORTGAGE LLC,2385.07,Housing & Real Estate,Mortgage
2024-07-25,LOCAL BISTRO #7598,24.44,Food & Dining,Dining out
2024-11-19,ASSISTED LIVING FACILITY,1343.69,Family & Dependent Support,Elder care support
2024-03-11,CON EDISON UTILITY,67.9,Utilities & Communication,Electricity
2024-04-30,JIFFY LUBE #3213,867.39,Transportation & Vehicle,Vehicle maintenance & repairs
2025-03-29,ASPEN DENTAL #8661,214.97,Healthcare,Dental/vision care
2025-05-08,NATIONAL GRID GAS,64.83,Utilities & Communication,Gas
2024-06-28,NORTHWESTERN MUTUAL,145.52,Insurance (Non-housing/Non-auto),Term or whole life insurance
2025-12-04,REPUBLIC SERVICES,67.68,Utilities & Communication,Trash
2025-04-06,CVS PHARMACY #2664,10.45,Healthcare,Prescriptions
2024-09-06,LENSCRAFTERS #3730,226.02,Healthcare,Dental/vision care
2025-09-02,DMV VEHICLE REG,216.89,Transportation & Vehicle,Registration/licensing
2024-09-29,SOFI PERSONAL LOAN,359.13,Debts & Loans,Personal installment loans
2025-03-26,HOME DEPOT APPLIANCES,1599.46,Household,Appliances
2024-11-16,PETCO GROOMING SALON,85.95,Pets,Grooming
2025-07-17,DUNKIN' #5792,9.39,Food & Dining,Coffee shops
2024-06-27,AQUA WATER SEWER,65.61,Utilities & Communication,Water/sewer
2024-10-16,CVS PHARMACY #3892,58.98,Healthcare,Prescriptions
2025-04-18,MICHAELS STORES #5522,116.37,Entertainment & Leisure,Hobbies
2025-05-10,ASPEN DENTAL #3238,139.54,Healthcare,Dental/vision care
2024-01-27,CITY WATER UTILITY,102.72,Utilities & Communication,Water/sewer
2024-09-12,EXPEDIA TOUR PACKAGE,679.36,Travel & Vacations,Tour packages
2024-05-29,WAYFAIR.COM,1339.26,Household,Furniture
2025-12-23,REGIONAL MEDICAL CTR,189.28,Healthcare,Out-of-pocket medical costs
2025-03-01,STATE DMV FEE,74.31,Transportation & Vehicle,Registration/licensing
2025-02-03,PRIVATE SCHOOL TUITION,3343.2,Family & Dependent Support,Child education/tuition
2025-03-30,REPUBLIC SERVICES,55.62,Utilities & Communication,Trash
2025-02-04,NELNET STUDENT LOAN,427.17,Debts & Loans,Student loans
2024-08-10,ZELLE TRANSFER TO FAMILY,61.04,Family & Dependent Support,Routine family financial assistance.
2025-04-05,UPSTART LOAN PYMT,485.28,Debts & Loans,Personal installment loans
2024-07-27,AMAZON.COM OFFICE,65.64,Household,Office Expenses
2025-08-31,STATE FARM AUTO,196.26,Transportation & Vehicle,Auto insurance
2024-10-06,SALLIE MAE PAYMENT,559.02,Debts & Loans,Student loans
2024-08-01,WESTERN UNION TRANSFER,549.51,Family & Dependent Support,Routine family financial assistance.
2025-11-02,HULU SUBSCRIPTION,33.44,Utilities & Communication,Cable/streaming services
2025-06-27,7-ELEVEN #931,14.06,Food & Dining,Snacks & Desserts
2024-02-24,SEPHORA #514,39.23,Personal Care & Apparel,Cosmetics/personal hygiene products
2024-10-19,CMS MEDICARE PART B,72.4,Healthcare,"Medicare premiums (Parts B, C, D)"
2024-04-19,ACE HARDWARE #190,809.83,Housing & Real Estate,Maintenance & repairs
2024-03-11,KINDERCARE LEARNING CTR,347.4,Family & Dependent Support,Childcare
2024-11-03,HOBBY LOBBY #7512,70.59,Entertainment & Leisure,Hobbies
2025-04-22,CMS MEDICARE PART B,112.94,Healthcare,"Medicare premiums (Parts B, C, D)"
2024-02-26,PEET'S COFFEE #8338,11.2,Food & Dining,Coffee shops
2024-02-13,PETSMART GROOMING #7499,56.55,Pets,Grooming
2025-08-16,HANDYMAN PRO SVC,236.55,Housing & Real Estate,Maintenance & repairs
2025-01-03,MIDAS AUTO REPAIR,305.24,Transportation & Vehicle,Vehicle maintenance & repairs
2024-10-25,RITE AID PHARMACY,110.95,Healthcare,Prescriptions
2025-02-23,DUNKIN' #7942,7.73,Food & Dining,Coffee shops
2025-10-10,TARGET #6190,91.28,Gifts & Charity,Holiday/birthday gifts
2024-06-22,GEICO AUTO INSURANCE,187.23,Transportation & Vehicle,Auto insurance
2024-04-01,KINDERCARE LEARNING CTR,716.65,Family & Dependent Support,Childcare
2024-05-14,NATIONAL GRID GAS,114.83,Utilities & Communication,Gas
2024-12-21,CIGNA SUPP HEALTH,334.79,Healthcare,Private supplemental health insurance
2025-11-26,OLIVE GARDEN #6755,63.6,Food & Dining,Dining out
2025-09-30,WILD BIRD CENTER #8708,43.66,Pets,Bird supplies
2025-09-06,HEALTHY PAWS INSURANCE,18.97,Pets,Pet insurance
2024-06-13,IHERB.COM,25.85,Personal Care & Apparel,Supplements/vitamins
2025-01-31,HULU SUBSCRIPTION,83.27,Utilities & Communication,Cable/streaming services
2024-04-25,CHEVRON #3188,85.93,Transportation & Vehicle,Gas/fuel
2024-09-28,DUKE ENERGY PAYMT,231.94,Utilities & Communication,Electricity
2025-12-01,OFFICE DEPOT #9120,95.96,Household,Office Expenses
2024-04-18,NIKE STORE #2028,68.82,Personal Care & Apparel,Shoes
2025-12-14,ROYAL CARIBBEAN CRUISE,792.94,Travel & Vacations,Cruises
2024-07-03,DMV VEHICLE REG,114.64,Transportation & Vehicle,Registration/licensing
2025-10-05,WELLS FARGO HOME MTG,2083.27,Housing & Real Estate,Mortgage
2025-01-22,MARRIOTT HOTELS #6883,341.47,Travel & Vacations,Lodging
2025-10-07,COMFORT KEEPERS,1299.03,Family & Dependent Support,Elder care support
2025-05-28,MUTUAL OF OMAHA LTC,116.82,Insurance (Non-housing/Non-auto),Long-term care insurance policies
2024-02-20,HEALTHY PAWS INSURANCE,61.02,Pets,Pet insurance
2024-12-19,THE CHEESECAKE FACTORY,114.62,Food & Dining,Dining out
2025-06-05,TACO BELL #2463,8.98,Food & Dining,Fast food
2024-05-28,NELNET STUDENT LOAN,337.29,Debts & Loans,Student loans
2024-06-27,GOOGLE PLAY APPS,8.72,Entertainment & Leisure,Apps/services
2025-09-24,COMCAST XFINITY,55.23,Utilities & Communication,Internet
2024-11-13,MASTERCLASS.COM,121.83,Entertainment & Leisure,Classes
2025-02-07,SSA MEDICARE DEDUCT,64.31,Healthcare,"Medicare premiums (Parts B, C, D)"
2024-12-05,GREAT CLIPS #3752,103.65,Personal Care & Apparel,Salon/barber visits
2024-04-10,NELNET STUDENT LOAN,235.16,Debts & Loans,Student loans
2025-02-26,SUPERCUTS #391,25.78,Personal Care & Apparel,Salon/barber visits
2025-06-10,GNC #3163,67.75,Personal Care & Apparel,Supplements/vitamins
2025-07-10,IKEA #700,1130.09,Household,Furniture
2025-07-02,OFFICE DEPOT #9690,45.51,Household,Office Expenses
2025-03-21,LOCAL BISTRO #5876,93.78,Food & Dining,Dining out
2024-09-05,DICK'S SPORTING GOODS,375.0,Entertainment & Leisure,Recreational equipment
2025-06-07,COMFORT KEEPERS,1277.93,Family & Dependent Support,Elder care support
2024-10-03,HOME INSTEAD SENIOR CARE,2054.06,Family & Dependent Support,Elder care support
2025-10-14,HOME DEPOT APPLIANCES,1747.71,Household,Appliances
2025-11-30,ROYAL CARIBBEAN CRUISE,1500.77,Travel & Vacations,Cruises
2025-04-13,MICHAELS STORES #6093,71.94,Entertainment & Leisure,Hobbies
2024-09-30,GREYSTAR PROPERTY MGMT,2427.18,Housing & Real Estate,Rent
